source,target
"Баранки бывают простые, ванильные, сахарные, сдобные, горчичные, маковые и другие. ","Баранки бывают простые, ванильные, сахарные, сдобные, горчичные, маковые и другие. "
Постепенно Ермолову удалось установить мирные отношения с частью горских правителей. ,Постепенно Ермолову удалось установить мирные отношения с частью горских правителей. 
"Получила распространение теория официальной народности, выраженная в формуле «Православие, самодержавие, народность», определившей официальную идеологию царской России в последующие десятилетия.","Получила распространение теория официальной народности, выраженная в формуле «Православие, самодержавие, народность», определившей официальную идеологию царской России в последующие десятилетия."
"Нас вырастил Сталин – на верность народу,","Нас вырастил Сталин – на верность народу,"
"Третьяковская галерея – крупнейший и богатейший музей России, сопоставимый с Лувром в Париже, поэтому слово Третьяковка иногда употребляется метафорически для называния какой-либо большой коллекции художественных произведений.","Третьяковская галерея – крупнейший и богатейший музей России, сопоставимый с Лувром в Париже, поэтому слово Третьяковка иногда употребляется метафорически для называния какой-либо большой коллекции художественных произведений."
"Раскольников считает, что не случится ничего страшного, если он освободит человечество от одной «гадкой старушонки»: украденные у неё деньги он отдаст матери и сестре, спасая их от нищеты, а сам уедет за границу и будет честно и достойно жить. ","Он крадет у старухи деньги, хочет часть их отдать матери и сестре, а сам уехать за границу и честно жить. "
"Так, Вера, Надежда, Любовь и Софья отмечают свои именины 30 сентября (17 по старому стилю), Татьяна – 25 января (12 по старому стилю). ","Так, Вера, Надежда, Любовь и Софья отмечают свои именины 30 сентября (17 по старому стилю), Татьяна – 25 января (12 по старому стилю). "
"Старейшее здание библиотеки - «Пашков дом» − городской дворец, построенный в стиле классицизма по проекту великого русского архитектора XVIII в. ","Старое здание библиотеки − «Пашков дом» − городской дворец, построенный в стиле классицизма по проекту великого русского архитектора XVIII в. "
"Здесь же стоит «Царь-пушка», изготовленная в XVI в. ","Здесь же стоит «Царь-пушка», еë вес – 40 тонн. "
"С нежностью и заботой относится только к сыну Митрофанушке, недорослю (то есть молодому человеку, не достигшему совершеннолетия и не поступившему на службу), который растет избалованным, грубым, невежественным бездельником. ","Он растёт избалованным, грубым, невежественным бездельником. "
Поэтому в былинах его называют ласково − Владимир Красное Солнышко. ,Поэтому в былинах его называют ласково − Владимир Красное Солнышко. 
Один из самых знаменитых балетов П.И. ,Один из самых знаменитых балетов П.И. 
Его брат Сергей Михайлович коллекционировал западноевропейскую живопись. ,Его брат Сергей Михайлович коллекционировал западноевропейскую живопись. 
"На второй и третий день молодожены были одеты уже не торжественно, а количество гостей сокращалось. ","На второй и третий день молодожёны были одеты уже не торжественно, а количество гостей сокращалось. "
"19 октября – одна из дат календаря, связанных в сознании образованных людей с именем Пушкина. ","19 октября – одна из дат календаря, связанных в сознании образованных людей с именем Пушкина. "
В 1967 г. на экраны вышел фильм Л.И. ,В 1967 г. на экраны вышел фильм Л.И. 
Александрова на стихи В.И. ,Александрова на стихи В.И. 
"Гимнастерка шилась из плотной ткани цвета хаки, с прямым стоячим воротником; оставалась военной форменной одеждой до 1969 г.","Гимнастерку шили из плотной ткани цвета хаки, с прямым стоячим воротником. "
Третьякову работы скульптора А.П. ,Третьякову работы скульптора А.П. 
"Курск знаменит своими соловьями, с давних времен считалось, что они поют красивее других. ","Курск знаменит своими соловьями, с давних времен считалось, что они поют красивее других. "
Здесь Пушкин встретил друзей – И.И. ,Здесь Пушкин встретил друзей – И.И. 
"Другая Снегурочка – героиня русской народной сказки, вылепленная из снега и ожившая девочка, которая весной растаяла от тёплых солнечных лучей. ","В русском  фольклоре существует и другая Снегурочка, героиня русской народной сказки – вылепленная из снега и ожившая девочка, которая весной растаяла от тёплых солнечных лучей. "
Однако и этот процесс не решил жилищную проблему в больших городах. ,Однако и этот процесс не решил жилищную проблему в больших городах. 
"Второе – Садовое кольцо образовалось в начале ХIХ в. на месте бывшего Земляного вала – кольцевого укрепления, ограждавшего Москву с конца XVI в. ","Второе – Садовое кольцо образовалось в начале ХIХ в. на месте бывшего Земляного вала –, ограждавшего Москву с конца XVI в. "
"В современном русском языке слово войско употребляется только в наименованиях военных подразделений казаков (см. казак), а в форме множественного числа – в сочетаниях ракетные войска, регулярные войска и т. д.","В современном русском языке слово войско употребляется только в наименованиях военных подразделений казаков (см. казак), а в форме множественного числа − в сочетаниях ракетные войска, регулярные войска и т. д."
Один из залов Большого Кремлёвского дворца Московского Кремля носит название Георгиевский. ,Один из залов Большого Кремлёвского дворца Московского Кремля носит название Георгиевский. 
За это Пётр I вернул шведам Финляндию и выплачивал за полученные территории компенсацию.,За это Пётр I вернул шведам Финляндию и выплачивал за полученные территории компенсацию.
"Нижегородский кремль XVI в. и находящийся на его территории Михайло-Архангельский собор, в котором похоронен Кузьма Минин, являются старейшими памятниками истории и архитектуры города. ","Нижегородский кремль XVI в. и находящийся на его территории Михайло-Архангельский собор, в котором похоронен Кузьма Минин, являются старейшими памятниками истории и архитектуры города. "
У слова именинник постепенно сформировалось и еще одно значение – «виновник торжества». ,У слова именинник постепенно сформировалось и еще одно значение – «виновник торжества». 
"Их объявляют мужем и женой, новой семьёй. ","Их объявляют мужем и женой, новой семьей."
"Герои этих мультфильмов говорят современным языком, что создаёт комический эффект и эмоционально приближает фольклорные тексты и образы к современности.","Герои этих мультфильмов говорят современным языком, что создаёт комический эффект и эмоционально приближает фольклорные тексты и образы к современности."
За эту победу полководец был удостоен титула графа Российской империи. ,За эту победу полководец был удостоен титула графа Российской империи. 
Так возникали варианты одной и той же былины.,Так возникали варианты одной и той же былины.
К теме «оттепели» кинематографисты возвращаются и сегодня: в 2007 г. вышел фильм В.П. ,К теме «оттепели» кинематографисты возвращаются и сегодня: в 2007 г. вышел фильм В.П. 
"Бондарева, повести «В списках не значился» и «А зори здесь тихие…» Б.В. ","Твардовского «Василий Тёркин»,  повести «В списках не значился» и «А зори здесь тихие…» Б.В. "
"Дядя Стëпа очень высокого роста, это помогает ему видеть все беспорядки и тех, кто нуждается в помощи. ","Дядя Стëпа очень высокого роста, это помогает ему видеть все беспорядки и тех, кто нуждается в помощи. "
"Фасады здания богато украшены белыми колоннами, стены покрашены в голубовато-зеленый цвет, верх венчают многочисленные скульптуры. ","На фасадах здания белые колонны, стены голубовато-зеленого цвета, а верх украшают многочисленные скульптуры."
"В то же время роман вызвал к себе критическое отношение как в среде либерально настроенного дворянства, считавшего, что аморальный нигилист не может быть литературным героем, так и в демократических кругах, которые сочли Базарова злобной карикатурой на молодое поколение. ","Роман вызвал к себе критическое отношение как в среде дворянства, считавшего, что аморальный нигилист не может быть литературным героем, так и в демократических кругах, которые увидели в Базарове злую карикатуру на молодое поколение. "
Похоронен в Петропавловском соборе Петербурга.,Похоронен в Петропавловском соборе Петербурга.
" Исполнен долг, завещанный от бога…"," Исполнен долг, завещанный от бога…"
Эта роль принесла ему всероссийскую известность. ,Эта роль принесла ему всероссийскую известность. 
"Варианты этого сюжета встречаются и в современной литературной сказке, например, в сказке С.Я. ","Варианты этого сюжета встречаются и в современной литературной сказке, например, в сказке С.Я. "
"В трудную минуту на помощь Ивану-царевичу приходят животные, которых он когда-то спас или пожалел. ","В трудную минуту на помощь Ивану-царевичу приходят животные, которых он когда-то спас или пожалел. "
"Лебедева-Кумача, а на следующий день руководитель Краснознаменного ансамбля песни и пляски Советской Армии А.В. ","Лебедева-Кумача, а на следующий день руководитель Краснознаменного ансамбля песни и пляски Советской Армии А.В. "
"В ходе Гражданской войны в 1920 г. были образованы Азербайджанская ССР и Армянская ССР, в 1921 г. – Грузинская ССР. ","В ходе Гражданской войны в 1920 г. были образованы Азербайджанская ССР и Армянская ССР, в 1921 г. – Грузинская ССР. "
В кинематографе образ Николая II создан Анатолием Ромашиным в фильме Э.Г. ,В кинематографе образ Николая II создан Анатолием Ромашиным в фильме Э.Г. 
Пророческий чин представляет иконы пророков. ,Пророческий чин представляет иконы пророков. 
"Тодоровского «Стиляги», посвящённый жизни молодёжи в начале периода «оттепели»,  в 2013 г. – его же сериал «Оттепель»; в 2016 г. – телевизионный сериал  «Таинственная страсть» Влада Фурмана по одноимённому роману В.П. ","Тодоровского «Стиляги», посвящённый жизни молодёжи в начале периода «оттепели», в 2013 г. – его же сериал «Оттепель»; в 2016 г. – телевизионный сериал «Таинственная страсть» Влада Фурмана по одноимённому роману В.П. "
"Василий Тëркин – солдат, по словам автора поэмы, «герой обыкновенный». ","Василий Тëркин – солдат, по словам автора поэмы, «герой обыкновенный». "
В 1770-х гг. в России был построен Черноморский флот.,В 1770−х гг. в России был построен Черноморский флот.
"Так говорят, желая напомнить кому−либо, что праздник и гулянье однажды кончаются.","Так говорят, желая напомнить кому-либо, что праздник и гулянье однажды кончаются."
К концу царствования Петра I общая численность вооружённых сил России достигла 220 тыс. человек. ,К концу царствования Петра I общая численность вооружённых сил России достигла 220 тыс. человек. 
"Первый том книги вышел из печати в 1842 г. под названием «Похождения Чичикова, или Мёртвые души». ","Первый том книги вышел из печати в 1842 г. под названием «Похождения Чичикова, или Мёртвые души». "
"Чтобы поступить в Славяно-греко-латинскую академию, выдал себя за сына дьякона, так как детей крестьян (см. крестьянин) в высшие учебные заведения не принимали. ","Чтобы поступить в Славяно-греко-латинскую академию, выдал себя за сына дьякона, так как детей крестьян (см. крестьянин) в высшие учебные заведения не принимали. "
"Беспокойная я, Беспокойная я, успокой ты меня… – часто используется в средствах массовой информации при упоминании города. ","Беспокойная я, Беспокойная я, успокой ты меня… – часто используется в средствах массовой информации при упоминании города. "
"Дата рождения человека, которая отмечается как бытовой, домашний праздник.","Дата рождения человека, которая отмечается как бытовой, домашний праздник."
Эта особенность выражена в строках стихотворения А.К. ,Эта особенность выражена в строках стихотворения А.К. 
"Макаренко, который в 1926-1928 гг. возглавлял детскую трудовую колонию имени Максима Горького, в 1927-1935 гг. − детскую коммуну имени Ф.Э. ","Макаренко, который в 1926-1928 гг. возглавлял детскую трудовую колонию имени Максима Горького, в 1927-1935 гг. − детскую коммуну имени Ф.Э. "
"СССР находился в кризисе, в обществе нарастало недовольство состоянием экономики, политики, идеологии. ","СССР находился в кризисе, в обществе нарастало недовольство состоянием экономики, политики, идеологии. "
"Монологи Сатина – призыв к гордому и сильному человеку, который сам должен изменить свою жизнь. ","Монологи Сатина – призыв к гордому и сильному человеку, который сам должен изменить свою жизнь."
Байкал − самое глубокое пресноводное озеро в мире. ,Байкал − самое глубокое пресноводное озеро в мире. 
Наиболее известные среди них: стихотворение Е.А. ,Наиболее известные среди них: стихотворение Е.А. 
В обряде крещения взрослых погружение в купель может заменяться опрыскиванием водой. ,В обряде крещения взрослых погружение в купель может заменяться опрыскиванием водой. 
"В 1817-1820 гг., после окончания Лицея, Пушкин жил в Петербурге, служил в Коллегии иностранных дел, посещал петербургские литературные кружки, был знаком со многими членами тайных обществ, будущими декабристами. ","В 1817-1820 гг., после окончания Лицея, Пушкин жил в Петербурге, служил в Коллегии (министерстве) иностранных дел, посещал петербургские литературные кружки, был знаком со многими членами тайных политических обществ. "
На берегах Телецкого озера находится Алтайский природный заповедник. ,На берегах Телецкого озера находится Алтайский природный заповедник. 
"При нём укрепилась власть Киева на обширных новых землях, вырос международный авторитет Руси, развились земледелие, ремёсла, культура.","При нём укрепилась власть Киева на обширных новых землях, вырос международный авторитет Руси, развились земледелие, ремёсла, культура."
"Его духовному возрождению помогает любовь к Лизе Калитиной, на которой он собирается жениться, получив известие о смерти Варвары Павловны. ",Ему помогает любовь к Лизе Калитиной. 
"Третьяков передал свою коллекцию (и коллекцию западноевропейской живописи, собранную его братом) в дар Москве. ","Третьяков передал свою коллекцию (и коллекцию западноевропейской живописи, собранную его братом) в дар Москве. "
Тема Великой Отечественной войны до сих пор остаётся одной из главных в русской литературе. ,Тема Великой Отечественной войны многие десятилетия остаётся одной из главных в русской литературе. 
"В Эрмитаж поступили также коллекции гравюр и рисунков, декоративно-прикладного искусства, оружия, книг и античных древностей. ","Также в Эрмитаж поступили коллекции гравюр и рисунков, декоративно-прикладного искусства, оружия, книг и античных древностей. "
"После смерти Тихона в 1925 г. и до 1943 г. патриарх вновь не избирался, так как в СССР государство боролось с церковью, проводило атеистическую пропаганду, служители культа подвергались репрессиям.","После смерти Тихона в 1925 г. и до 1943 г. патриарх вновь не избирался, так как в СССР государство боролось с церковью, проводило атеистическую пропаганду, служители культа подвергались репрессиям."
Колчака (ноябрь 1918 – январь 1920). ,Колчака (ноябрь 1918 – январь 1920). 
Это  самое оптимистическое произведение художника. ,Это  самое оптимистическое произведение художника. 
"Русь), в суровых климатических условиях шуба была универсальной зимней одеждой, которую носили все: и мужчины, и женщины, и князья (см. князь), и бояре (см. боярин), и дворяне (см. дворянин), и крестьяне (см. крестьянин).","Русь), в суровых климатических условиях шуба была универсальной зимней одеждой, которую носили все: и мужчины, и женщины, и князья (см. князь), и бояре (см. боярин), и дворяне (см. дворянин), и крестьяне (см. крестьянин)"
"Пушкина, деревенский поп в поэме Н.А. ","Пушкина, в поэме Н.А. "
"Растрелли в 1754-1762 гг. в стиле барокко, это последний из пяти зимних дворцов, строившихся с 1711 г. ",Растрелли в 1754-1762 гг. в стиле барокко. 
Поленов; окончил училище в 1885 г. ,Поленов; окончил училище в 1885 г. 
Работает один из самых старых в России драматических театров – Иркутский академический драматический театр имени Н. ,Работает один из самых старых в России драматических театров – Иркутский академический драматический театр имени Н. 
Сфера научных интересов Ломоносова в последующие годы была чрезвычайно широка: от гуманитарных исследований в области языка до естественнонаучных экспериментов.,Сфера научных интересов Ломоносова в последующие годы была чрезвычайно широка: от гуманитарных исследований в области языка до естественнонаучных экспериментов.
"Галерея проводит много выставок («Золотая карта России», «Третьяковская галерея открывает свои запасники» и другие). ","Галерея проводит много выставок («Золотая карта России», «Третьяковская галерея открывает свои запасники» и другие). "
"Сюжет романа «Двенадцать стульев» − история двух жуликов (Остапа Бендера и Ипполита Матвеевича Воробьянинова), которые ищут бриллианты, зашитые в обивку одного из двенадцати стульев гарнитура умершей тёщи Воробьянинова. ","Сюжет романа «Двенадцать стульев» − история двух жуликов (Остапа Бендера и Ипполита Матвеевича Воробьянинова), которые ищут бриллианты, зашитые в обивку одного из двенадцати стульев гарнитура умершей тёщи Воробьянинова. "
"Находясь на командных должностях, заботился о высокой боеспособности флота. ","Находясь на командных должностях, заботился о высокой боеспособности флота. "
"В годы Великой Отечественной войны в город были эвакуированы из Москвы правительственные учреждения, посольства и представительства иностранных государств, промышленные предприятия, Большой театр, «Мосфильм»; было налажено производство знаменитых самолетов-штурмовиков Ил-2, Ил-10 (см. ","Здесь производили знаменитые самолеты-штурмовики Ил-2, Ил-10 (см. "
Этот обычай закрепился в выражении пускать шапку по кругу.,Этот обычай закрепился в выражении пускать шапку по кругу.
"Из берëзы делали лучину − тонкую длинную щепку, которая специально укреплялась, поджигалась и освещала крестьянский (см. крестьянин) дом. ","Из берëзы делали лучину − тонкую длинную щепку, которая специально укреплялась, поджигалась и освещала крестьянский (см. крестьянин) дом. "
Ударный музыкальный и сигнальный инструмент (из меди или медного сплава) в виде полого усечённого конуса с подвешенным внутри него для звона стержнем-языком.,Ударный музыкальный и сигнальный инструмент.
"Достопримечательности Смоленска – кремль с мощными оборонительными стенами и башнями (XVI в.), церкви (см. церковь) Петра и Павла (XII в.), Михаила Архангела (XII в.), Иоанна Богослова (ХVIII в.), Успенский собор (XVII в.); Дворянское собрание (XIX в.); памятники: М.И. ","Достопримечательности Смоленска – кремль со стенами и башнями  (XVI в.), церкви (см. церковь) Петра и Павла (XII в.), Михаила Архангела (XII в.), Иоанна Богослова (ХVIII в.), Успенский собор (XVII в.); Дворянское собрание (XIX в.); памятники: М.И. "
В 1970-е годы тема Великой Отечественной войны была широко представлена в песенном творчестве В.С. ,В 1970-е годы тема Великой Отечественной войны была широко представлена в песенном творчестве В.С. 
"Хрущобами (по аналогии с трущобами – ветхими строениями) называют пятиэтажные жилые дома с малогаритными квартирами, построенные в 1960-е гг. и не соответствующие современным нормам и представлениям о благоустроенном жилище. ","В русском языке от фамилии Хрущёва образовано слово хрущоба (по аналогии с трущобой,  то есть  ветхим строением). "
"Начиная с середины ХVIII в. на Новый год стали проводить праздничные вечера, балы, маскарады, устраивать фейерверки.","Начиная с середины ХVIII в. на Новый год стали проводить праздничные вечера, балы, маскарады, устраивать фейерверки."
Существует несколько версий происхождения этого выражения. ,Существует несколько версий происхождения этого выражения. 
В 1880 г. в Москве на общественные деньги был установлен первый памятник Пушкину работы А.М. ,В 1880 г. в Москве на общественные деньги был установлен первый памятник Пушкину работы А.М. 
"В средние века храм часто был местом хранения важнейших документов, грамот (см. грамота), договоров, хранилищем казны и т. д.",В средние века храм часто был местом хранения важных документов и т. д.
Берëза растет обычно в смешанном лесу или в берëзовых рощах − березняках. ,Берëза растет обычно в смешанном лесу или в берëзовых рощах − березняках. 
"После смерти в 1598 г. царя Фёдора, сына Ивана Грозного, в стране возник династический кризис, так как Фёдор – последний из династии Рюриковичей – не оставил наследника.","После смерти в 1598 г. царя Фёдора, сына Ивана Грозного, в стране возник династический кризис, так как Фёдор – последний из династии Рюриковичей А.С. – не оставил наследника."
"В отличие от старших братьев, он очень доверчив, бесхитростен, порою ленив и как будто глуповат. ","В отличие от старших братьев, он очень доверчивый, бесхитростный, иногда ленивый и как будто глупый. "
Естественным стал и перенос этого названия на новорожденного (см. день рождения).,Естественным стал и перенос этого названия на новорожденного (см. день рождения).
Одним из лучших воплощений образа Николая I в киноискусстве стала работа В. ,Одним из лучших воплощений образа Николая I в киноискусстве стала работа В. 
Зимний дворец – резиденция российских императоров. ,Зимний дворец был резиденцией российских императоров. 
Государственные институты стали проводить политику атеистического воспитания молодого поколения страны. ,Государственные институты стали проводить политику атеистического воспитания молодого поколения страны. 
"В соответствии с Декретом после 31 января следовало не 1, а 14 февраля. ","В соответствии с Декретом после 31 января следовало не 1, а 14 февраля. "
"В этих сложных условиях появился самозванец Лжедмитрий: молодой монах Чудова монастыря Григорий Отрепьев, бежавший в Польшу, стал выдавать себя за погибшего в г. ","В этих сложных условиях появился самозванец Лжедмитрий: молодой монах Чудова монастыря Григорий Отрепьев, бежавший в Польшу, стал называть себя царевичем Дмитрием – младшим сыном Ивана Грозного. "
В 1932 г. отсюда на ледокольном пароходе «А. ,В 1932 г. отсюда на ледокольном пароходе «А. 
"До нашего времени сохранился памятник, поставленный Николаю I в Петербурге в 1859 г. работы скульптора П. ","До нашего времени сохранился памятник, поставленный Николаю I в Петербурге в 1859 г. работы скульптора П. "
"В тексте использован приём психологического параллелизма, характерный для русской народной песни. ","В тексте использован прием психологического параллелизма, характерный для русской народной песни. "
Сражение продолжалось 200 дней на фронте протяжённостью до 850 километров. ,Сражение продолжалась 200 дней на фронте протяжённостью до 850 километров. 
"Первыми из деревьев и кустарников распускаются верба, сирень, тополь, берёза, последним − дуб. ","Первыми из деревьев и кустарников распускаются верба, сирень, тополь, берёза, последним − дуб. "
"Хотя Хлестаков и сам участвует в создании образа ревизора, но инициативы не проявляет, в возникшей интриге его роль пассивна. ","Хотя Хлестаков и сам участвует в создании образа ревизора, но он не проявляет инициативу, в возникшей интриге его роль пассивна. "
"По желанию будущих супругов, регистрация брака может проходить буднично (как процедура оформления документов) или торжественно. ","По желанию будущих супругов, регистрация брака может быть только процедурой оформления документов или проходить торжественно. "
"Это проявляется в диалогах между ним и Петькой или Анкой, например:","Это проявляется в диалогах между ним и Петькой или Анкой, например:"
Комедия в стихах А.С. ,Комедия в стихах А.С. 
При Иване Грозном была составлена официальная запись генеалогии русских боярских родов – «Государев родословец» (1555 г.). ,При Иване Грозном была составлена официальная запись генеалогии русских боярских родов – «Государев родословец» (1555 г.). 
"Нарастание революционных настроений в обществе способствовало переходу Александра II к реакционной внутренней политике, усилению репрессий против революционеров-народовольцев (см. народники). ","Каракозовым, способствовали переходу Александра II к реакционной внутренней политике, усилению репрессий против революционеров."
Она знает язык животных и растений. ,Она знает язык животных и растений. 
"Создана в 1850 г., находится в Русском музее. ","Создана в 1850 г., находится в Русском музее. "
"В русской литературе нет произведений, в которых Николай I являлся бы главным героем, но дух эпохи его царствования прямо или косвенно отразился во всей русской литературе и искусстве ХIХ в., начиная со стихотворения М.Ю. ","В русской литературе нет произведений, в которых Николай I являлся бы главным героем, но дух эпохи его царствования прямо или косвенно отразился во всей русской литературе и искусстве ХIХ в., начиная со стихотворения М.Ю. "
Глазунова и триптих «Поле Куликово» Ю. ,Глазунова и триптих «Поле Куликово» Ю. 
"В наше время существуют так называемые воскресные школы,  в которых изучаются основы православия и православной культуры.","В наше время существуют так называемые воскресные школы,  в которых изучаются основы православия и православной культуры."
Закладка нового города состоялась 27 мая 1703 г. ,Город основан в 1703 г. 
"Наиболее известные литературные произведения, посвящённые Сталинградской битве: повесть В.П. ","Наиболее известные литературные произведения, посвящённые Сталинградской битве: повесть В.П. "
